Player,Pos,Tm,2P,0-3,3-10,10-16,16-3P,3P,3Corner,G,FG%,Dist.
Precious Achiuwa,C,TOR,0.564,0.734,0.406,0.286,0.2,0.269,0.25,55,0.485,9.7
Steven Adams,C,MEM,0.599,0.645,0.5,0.4,,0,0,42,0.597,2.6
Bam Adebayo,C,MIA,0.545,0.714,0.479,0.497,0.288,0.083,,75,0.54,7.3
Ochai Agbaji,SG,UTA,0.532,0.621,0.494,0.4,0.444,0.355,0.457,59,0.427,16.9
Santi Aldama,PF,MEM,0.591,0.707,0.471,0.25,0.444,0.353,0.365,77,0.47,14.6
Nickeil Alexander-Walker,SG,TOT,0.515,0.634,0.443,0.385,0.571,0.384,0.386,59,0.444,16.9
Nickeil Alexander-Walker,SG,UTA,0.578,0.65,0.524,0.4,0.818,0.402,0.381,36,0.488,16.5
Nickeil Alexander-Walker,SG,MIN,0.415,0.619,0.263,0.333,0.3,0.361,0.391,23,0.384,17.4
Grayson Allen,SG,MIL,0.518,0.67,0.345,0.4,0,0.399,0.474,72,0.44,18.7
Jarrett Allen,C,CLE,0.653,0.765,0.516,0.511,0.294,0.1,0,68,0.644,4.4
Jose Alvarado,PG,NOP,0.488,0.67,0.395,0.36,0.143,0.336,0.38,61,0.411,15.6
Kyle Anderson,PF,MIN,0.536,0.648,0.512,0.465,0.143,0.41,0.468,69,0.509,9.9
Giannis Antetokounmpo,PF,MIL,0.596,0.791,0.354,0.353,0.355,0.275,0.25,63,0.553,8.1
Thanasis Antetokounmpo,PF,MIL,0.526,0.682,0.357,0,0,0,0,37,0.435,7.7
Cole Anthony,PG,ORL,0.5,0.632,0.447,0.522,0.425,0.364,0.353,60,0.454,14.7
O.G. Anunoby,SF,TOR,0.539,0.695,0.366,0.364,0.46,0.387,0.458,67,0.476,13.5
Ryan Arcidiacono,PG,TOT,0.071,0,0.143,0,0,0.348,0,20,0.243,20.2
Ryan Arcidiacono,PG,NYK,0,0,0,,,0.333,0,11,0.2,16.9
Ryan Arcidiacono,PG,POR,0.083,,0.167,0,0,0.35,,9,0.25,20.7
Deni Avdija,SF,WAS,0.53,0.714,0.395,0.227,0.333,0.297,0.339,76,0.437,13.3
Deandre Ayton,C,PHX,0.597,0.806,0.532,0.455,0.467,0.292,,67,0.589,7.7
Udoka Azubuike,C,UTA,0.819,0.956,0.593,,,,,36,0.819,2.7
Marvin Bagley III,C,DET,0.579,0.779,0.479,0.452,0.364,0.288,0.316,42,0.529,8.8
Patrick Baldwin Jr.,SF,GSW,0.44,0.875,0.333,0,0.5,0.381,0.278,31,0.394,21.4
LaMelo Ball,PG,CHA,0.45,0.598,0.316,0.443,0.395,0.376,0.385,36,0.411,17.7
Mo Bamba,C,TOT,0.59,0.74,0.24,0.5,0.286,0.387,0.357,49,0.485,15.1
Mo Bamba,C,ORL,0.594,0.739,0.273,0.5,0.286,0.398,0.385,40,0.495,14.9
Mo Bamba,C,LAL,0.545,0.75,0,,,0.313,0,9,0.407,16.1
Paolo Banchero,PF,ORL,0.471,0.658,0.38,0.41,0.352,0.298,0.343,72,0.427,12.4
Desmond Bane,SG,MEM,0.534,0.642,0.447,0.478,0.491,0.408,0.508,58,0.479,14.8
Dalano Banton,PG,TOR,0.506,0.806,0.348,0.2,0.1,0.294,0.25,31,0.423,14.3
Dominick Barlow,PF,SAS,0.561,0.711,0.409,0.25,0.667,0,0,28,0.535,5.5
Harrison Barnes,PF,SAC,0.553,0.713,0.407,0.429,0.333,0.374,0.395,82,0.473,13.6
Scottie Barnes,SF,TOR,0.505,0.685,0.45,0.296,0.361,0.281,0.316,77,0.456,10.7
RJ Barrett,SG,NYK,0.495,0.642,0.401,0.3,0.259,0.31,0.319,73,0.434,11.5
Will Barton,SG,TOT,0.391,0.581,0.3,0.324,0.4,0.367,0.515,56,0.379,17.6
Will Barton,SG,WAS,0.395,0.576,0.3,0.308,0.464,0.377,0.48,40,0.386,17.7
Will Barton,SG,TOR,0.378,0.6,0.3,0.375,0.143,0.333,0.625,16,0.354,17
Charles Bassey,C,SAS,0.661,0.757,0.556,0.462,0.5,0.375,0,35,0.644,5.3
Keita Bates-Diop,PF,SAS,0.557,0.696,0.44,0.364,0,0.394,0.377,67,0.508,10.4
Nicolas Batum,PF,LAC,0.563,0.694,0.533,0.333,0.143,0.391,0.435,78,0.42,21.6
Darius Bazley,C,TOT,0.485,0.598,0.281,0.385,0,0.377,0.474,43,0.454,9.9
Darius Bazley,C,OKC,0.469,0.554,0.28,0.455,0,0.4,0.471,36,0.449,9.8
Darius Bazley,C,PHX,0.588,1,0.286,0,,0.25,0.5,7,0.48,10.7
Bradley Beal,SG,WAS,0.552,0.786,0.462,0.472,0.479,0.365,0.364,50,0.506,12.9
Malik Beasley,SG,TOT,0.484,0.706,0.528,0.353,0.407,0.357,0.373,81,0.395,21
Malik Beasley,SG,UTA,0.485,0.632,0.511,0.404,0.452,0.359,0.356,55,0.396,21.1
Malik Beasley,SG,LAL,0.481,0.8,0.576,0.238,0.25,0.353,0.435,26,0.392,20.7
MarJon Beauchamp,SF,MIL,0.485,0.667,0.261,0.5,0.235,0.331,0.345,52,0.395,17.5
Davis Bertans,PF,DAL,0.737,0.769,0.5,1,1,0.39,0.452,45,0.431,23.4
Patrick Beverley,SG-PG,TOT,0.529,0.636,0.446,0.5,0.75,0.335,0.35,67,0.4,18.7
Patrick Beverley,SG,LAL,0.506,0.64,0.438,0.429,0.667,0.348,0.412,45,0.402,18.6
Patrick Beverley,PG,CHI,0.579,0.632,0.471,1,1,0.309,0.241,22,0.395,18.9
Saddiq Bey,SF,TOT,0.483,0.643,0.399,0.286,0.268,0.361,0.407,77,0.422,15.6
Saddiq Bey,SF,DET,0.46,0.626,0.402,0.243,0.29,0.345,0.424,52,0.404,15.9
Saddiq Bey,SF,ATL,0.552,0.678,0.385,0.6,0.2,0.4,0.383,25,0.47,14.8
Khem Birch,C,TOR,0.6,0.833,0.467,0.5,0,0.5,0.5,20,0.594,6.5
Goga Bitadze,C,TOT,0.636,0.758,0.471,0,0,0.231,0,38,0.552,7.8
Goga Bitadze,C,IND,0.605,0.731,0.444,0,0,0.286,,21,0.519,9.5
Goga Bitadze,C,ORL,0.656,0.778,0.48,,,0.167,0,17,0.575,6.6
Bismack Biyombo,C,PHX,0.578,0.814,0.406,0.421,,,,61,0.578,4.4
Buddy Boeheim,SF,DET,0.5,,1,0,,0.16,0.273,10,0.185,24
Bogdan Bogdanovic,SG,ATL,0.506,0.642,0.567,0.475,0.345,0.406,0.392,54,0.447,18.8
Bojan Bogdanovic,PF,DET,0.539,0.685,0.487,0.537,0.406,0.411,0.419,59,0.488,15.2
Bol Bol,PF,ORL,0.633,0.871,0.492,0.471,0.303,0.265,0.185,70,0.546,10.7
Leandro Bolmaro,SF,UTA,0.188,0.2,0.143,0.5,0,0,,14,0.15,11
Devin Booker,SG,PHX,0.554,0.717,0.491,0.555,0.464,0.351,0.362,53,0.494,14.5
Brandon Boston Jr.,SF,LAC,0.419,0.724,0.154,0.4,0.333,0.414,0.2,22,0.418,12.6
Chris Boucher,PF,TOR,0.585,0.651,0.46,0.421,0.583,0.328,0.359,76,0.493,11.1
James Bouknight,SG,CHA,0.429,0.594,0.259,0.313,0.556,0.303,0.353,34,0.358,17.9
Jamaree Bouyea,PG,TOT,0.5,1,0.4,,0,0.333,,5,0.429,14.6
Jamaree Bouyea,PG,MIA,0.5,1,0.4,,0,0.4,,4,0.462,13.6
Jamaree Bouyea,PG,WAS,,,,,,0,,1,0,28.1
Tony Bradley,C,CHI,0.429,0.75,0,0,,0.6,0.5,12,0.5,12.8
Malaki Branham,SG,SAS,0.539,0.637,0.524,0.517,0.442,0.302,0.358,66,0.44,15.5
Jarrell Brantley,PF,UTA,0.8,1,0.75,,,0.444,0.333,4,0.571,18
Christian Braun,SG,DEN,0.565,0.721,0.42,0.375,0.167,0.354,0.4,76,0.495,11.4
Mikal Bridges,SF-SG,TOT,0.514,0.693,0.466,0.469,0.364,0.382,0.448,83,0.468,14.5
Mikal Bridges,SF,PHX,0.503,0.709,0.422,0.468,0.286,0.387,0.475,56,0.463,14.1
Mikal Bridges,SG,BKN,0.531,0.662,0.534,0.47,0.465,0.376,0.403,27,0.475,15.1
Oshae Brissett,PF,IND,0.457,0.558,0.277,0.4,0,0.31,0.225,65,0.386,13.9
Malcolm Brogdon,PG,BOS,0.51,0.613,0.434,0.483,0.509,0.444,0.435,67,0.484,14.4
Dillon Brooks,SF,MEM,0.451,0.635,0.362,0.453,0.282,0.326,0.361,73,0.396,15.8
Bruce Brown,SF,DEN,0.548,0.809,0.391,0.391,0.25,0.358,0.392,80,0.483,12
Greg Brown III,PF,POR,0.476,0.667,0,,0,0.143,0.333,16,0.393,9.1
Jaylen Brown,SF,BOS,0.576,0.741,0.477,0.543,0.406,0.335,0.279,67,0.491,13.6
Kendall Brown,SG,IND,0.667,1,0,1,,0,0,6,0.571,7.1
Moses Brown,C,TOT,0.635,0.7,0.48,0,,,,36,0.635,2.1
Moses Brown,C,LAC,0.635,0.7,0.48,0,,,,34,0.635,2.1
Moses Brown,C,BKN,,,,,,,,2,,
Sterling Brown,SF,LAL,0,0,,,,0,0,4,0,13.2
Troy Brown Jr.,SF,LAL,0.505,0.688,0.377,0.4,0.348,0.381,0.405,76,0.43,17.5
Jalen Brunson,PG,NYK,0.519,0.612,0.504,0.471,0.511,0.416,0.424,68,0.491,12.9
Thomas Bryant,C,TOT,0.658,0.803,0.537,0.486,0.478,0.441,0.462,59,0.623,8.4
Thomas Bryant,C,LAL,0.697,0.823,0.558,0.643,0.438,0.44,0.462,41,0.654,8.3
Thomas Bryant,C,DEN,0.492,0.682,0.444,0,0.571,0.444,,18,0.485,8.8
Reggie Bullock,SF,DAL,0.562,0.75,0.421,0.444,0.222,0.38,0.451,78,0.409,21.7
Alec Burks,SG,DET,0.459,0.65,0.409,0.464,0.4,0.414,0.49,51,0.436,17.7
Deonte Burton,PF,SAC,0,,0,,,0,0,2,0,13.8
Jared Butler,PG,OKC,0.444,0.333,0.545,0,,0.5,0,6,0.469,14.5
Jimmy Butler,PF,MIA,0.564,0.703,0.492,0.5,0.408,0.35,0.345,64,0.539,8.3
John Butler Jr.,C,POR,0.5,0.625,0.6,0,0.5,0.229,0.2,19,0.321,19
Jamal Cain,PF,MIA,0.652,0.731,0.588,0.333,,0.35,0.273,18,0.561,10.5
Kentavious Caldwell-Pope,SG,DEN,0.502,0.686,0.403,0.431,0.449,0.423,0.405,76,0.462,17.3
Facundo Campazzo,PG,DAL,0,0,0,,,0.273,1,8,0.231,22
Vlatko Cancar,PF,DEN,0.58,0.717,0.48,0.25,1,0.374,0.421,60,0.476,15.3
Clint Capela,C,ATL,0.654,0.725,0.402,0,0.5,0,,65,0.653,2.1
Vernon Carey Jr.,C,WAS,0.25,0.667,0,0,0,,,11,0.25,7.7
Jevon Carter,PG,MIL,0.425,0.538,0.237,0.431,0.437,0.421,0.436,81,0.423,19.9
Wendell Carter Jr.,C,ORL,0.624,0.85,0.473,0.452,0.349,0.356,0.449,57,0.525,13.3
Michael Carter-Williams,PG,ORL,0.455,1,0.429,0,,0.333,0,4,0.429,10.4
Alex Caruso,PG,CHI,0.556,0.699,0.281,0.4,0.4,0.364,0.405,67,0.455,15
Julian Champagnie,SF,TOT,0.542,0.636,0.438,0.5,0.5,0.402,0.429,17,0.454,17.9
Julian Champagnie,SF,PHI,0,,,,0,0,0,2,0,20.3
Julian Champagnie,SF,SAS,0.553,0.636,0.438,0.5,0.6,0.407,0.45,15,0.461,17.9
Justin Champagnie,SF,TOT,0.4,0.5,0.375,,,0.2,0,5,0.333,11.2
Justin Champagnie,SF,TOR,1,1,1,,,,,3,1,3.7
Justin Champagnie,SF,BOS,0.143,0,0.167,,,0.2,0,2,0.167,13.1
Kennedy Chandler,PG,MEM,0.485,0.633,0.367,0.333,0.5,0.133,0,36,0.422,8.7
Max Christie,SG,LAL,0.409,0.417,0.429,0.333,0.444,0.419,0.37,41,0.415,18
Josh Christopher,SG,HOU,0.55,0.685,0.537,0.452,0.3,0.236,0.235,64,0.465,11.9
Brandon Clarke,PF,MEM,0.665,0.792,0.568,0.451,0.625,0.167,0.167,56,0.656,5.1
Jordan Clarkson,SG,UTA,0.53,0.688,0.51,0.47,0.313,0.338,0.4,61,0.444,15.7
Nic Claxton,C,BKN,0.708,0.805,0.511,0.462,,0,0,76,0.705,2.7
Amir Coffey,SF,LAC,0.429,0.6,0.377,0.389,0.333,0.275,0.222,50,0.386,12.1
John Collins,PF,ATL,0.619,0.795,0.459,0.481,0.5,0.292,0.302,71,0.508,12
Zach Collins,C,SAS,0.571,0.679,0.54,0.378,0.429,0.374,0.222,63,0.518,11.1
Chance Comanche,C,POR,0.6,0.5,,,0.667,,,1,0.6,12.7
Mike Conley,PG,TOT,0.486,0.608,0.431,0.5,0.474,0.385,0.545,67,0.428,18.3
Mike Conley,PG,UTA,0.469,0.531,0.475,0.459,0.308,0.362,0.586,43,0.408,18.3
Mike Conley,PG,MIN,0.515,0.737,0.349,0.552,0.833,0.42,0.5,24,0.46,18.3
Pat Connaughton,SF,MIL,0.566,0.672,0.333,0.5,0.667,0.339,0.358,61,0.392,20.3
Xavier Cooks,PF,WAS,0.63,0.727,0.533,1,,0,,10,0.607,6
Robert Covington,PF,LAC,0.516,0.702,0.361,0.143,0.333,0.397,0.45,48,0.445,16.8
Torrey Craig,PF,PHX,0.518,0.699,0.319,0.258,0.357,0.395,0.45,79,0.456,15
Jae Crowder,PF,MIL,0.538,0.857,0.6,0.333,0.4,0.436,0.467,18,0.479,18.8
Jarrett Culver,SF,ATL,0.516,0.647,0.333,0.5,0.333,0.083,0.333,10,0.395,11.3
Cade Cunningham,PG,DET,0.466,0.561,0.42,0.394,0.487,0.279,0.25,12,0.415,14.2
Seth Curry,SG,BKN,0.525,0.615,0.467,0.588,0.491,0.405,0.424,61,0.463,19.8
Stephen Curry,PG,GSW,0.579,0.76,0.551,0.493,0.465,0.427,0.597,56,0.493,18.8
Dyson Daniels,PG,NOP,0.492,0.635,0.348,0.3,0,0.314,0.36,59,0.418,13.4
Anthony Davis,C,LAL,0.589,0.788,0.514,0.442,0.372,0.257,0.364,56,0.563,8.2
Johnny Davis,SG,WAS,0.485,0.708,0.438,0.393,0.412,0.243,0.263,28,0.386,15.8
Terence Davis,SG,SAC,0.537,0.685,0.442,0.333,0.455,0.366,0.39,64,0.423,18.8
JD Davison,SG,BOS,0.5,1,0.5,0.333,1,0.286,,12,0.421,15.9
Darius Days,SF,HOU,1,1,,,,0.3,0.4,4,0.417,20.5
Dewayne Dedmon,C,TOT,0.58,0.66,0.511,0.444,0.667,0.308,0.2,38,0.51,10.1
Dewayne Dedmon,C,MIA,0.576,0.636,0.541,0.444,0.5,0.297,0.2,30,0.496,10.8
Dewayne Dedmon,C,PHI,0.6,0.778,0.4,,1,0.5,,8,0.591,6.4
Matthew Dellavedova,PG,SAC,0.348,0.75,0.3,0.167,0.5,0.333,0.5,32,0.34,15.9
DeMar DeRozan,SF,CHI,0.526,0.735,0.491,0.499,0.459,0.324,0.318,74,0.504,13.7
Moussa Diabate,C,LAC,0.511,0.556,0.5,0,,0.5,0.5,22,0.511,4
Mamadi Diakite,C,CLE,0.586,0.833,0.4,0.333,1,0.333,0.222,22,0.48,13.9
Hamidou Diallo,SF,DET,0.593,0.765,0.459,0.426,0.462,0.238,0.273,56,0.573,6.7
Gorgui Dieng,C,SAS,0.571,0.75,0.429,0.462,0.5,0.28,0.429,31,0.385,19.3
Ousmane Dieng,PF,OKC,0.602,0.789,0.5,0.167,0.4,0.265,0.308,39,0.42,16.2
Spencer Dinwiddie,SG-PG,TOT,0.498,0.646,0.417,0.423,0.423,0.369,0.506,79,0.438,15.7
Spencer Dinwiddie,SG,DAL,0.504,0.641,0.401,0.473,0.455,0.405,0.556,53,0.455,16
Spencer Dinwiddie,PG,BKN,0.488,0.657,0.443,0.357,0.368,0.289,0.294,26,0.404,15
Donte DiVincenzo,SG,GSW,0.525,0.567,0.563,0.286,0.3,0.397,0.419,72,0.435,19.7
Luka Doncic,PG,DAL,0.588,0.745,0.578,0.51,0.333,0.342,0.273,66,0.496,14.7
Tyler Dorsey,SF,DAL,1,,,,1,0.5,1,3,0.8,21
Luguentz Dort,SF,OKC,0.44,0.521,0.309,0.357,0.476,0.33,0.411,74,0.388,14.2
Ayo Dosunmu,SG,CHI,0.583,0.679,0.429,0.5,0.304,0.312,0.33,80,0.493,11.2
Devon Dotson,PG,WAS,0,,0,0,0,0.25,0,6,0.1,16.5
Jeff Dowtin,PG,TOR,0.488,0.7,0.6,0,0.444,0.313,0.375,25,0.439,13.5
PJ Dozier,SF,SAC,0.471,0.8,0.333,0,0.6,0.125,0.2,16,0.303,17.9
Goran Dragic,PG,TOT,0.468,0.613,0.372,0.35,0.56,0.359,0.481,58,0.421,15.8
Goran Dragic,PG,CHI,0.48,0.632,0.359,0.352,0.619,0.352,0.48,51,0.425,15.5
Goran Dragic,PG,MIL,0.368,0.4,0.5,0.333,0.25,0.412,0.5,7,0.389,17.7
Andre Drummond,C,CHI,0.613,0.66,0.475,0,,0,0,67,0.606,2.3
Chris Duarte,SF,IND,0.428,0.541,0.485,0.25,0.3,0.316,0.333,46,0.369,17.2
David Duke Jr.,SG,BKN,0.53,0.605,0.429,0.2,1,0.083,0,23,0.462,7.1
Kris Dunn,PG,UTA,0.55,0.767,0.524,0.409,0.5,0.472,0.4,22,0.537,9.3
Kevin Durant,PF,TOT,0.617,0.821,0.607,0.591,0.538,0.404,0.556,47,0.56,15.1
Kevin Durant,PF,BKN,0.622,0.811,0.608,0.603,0.529,0.376,0.417,39,0.559,14.9
Kevin Durant,PF,PHX,0.586,1,0.6,0.526,0.583,0.537,0.833,8,0.57,16.6
Jalen Duren,C,DET,0.652,0.747,0.511,0.474,0,0,0,67,0.648,3.3
Tari Eason,PF,HOU,0.486,0.619,0.318,0.211,0.1,0.343,0.367,82,0.448,9.2
Anthony Edwards,SG,MIN,0.513,0.674,0.376,0.383,0.35,0.369,0.446,79,0.459,13.9
Kessler Edwards,SF,TOT,0.5,0.737,0.182,1,0.167,0.309,0.333,36,0.387,17.1
Kessler Edwards,SF,BKN,0.333,0.8,0,,0,0.167,0,14,0.25,16.6
Kessler Edwards,SF,SAC,0.577,0.714,0.25,1,0.5,0.349,0.438,22,0.435,17.3
Keon Ellis,SG,SAC,0.25,,0.5,0,0,0.5,0.5,16,0.438,22.2
Joel Embiid,C,PHI,0.587,0.807,0.435,0.514,0.489,0.33,0.25,66,0.548,11.2
Drew Eubanks,C,POR,0.655,0.756,0.562,0.5,0.375,0.389,0,78,0.641,5.8
Bruno Fernando,C,TOT,0.546,0.672,0.413,0,0.5,0,0,39,0.527,4.2
Bruno Fernando,C,HOU,0.522,0.68,0.333,0,0.5,0,0,31,0.516,3.7
Bruno Fernando,C,ATL,0.688,0.625,0.857,0,,0,0,8,0.579,7
Dorian Finney-Smith,PF,TOT,0.503,0.642,0.227,0,0.5,0.337,0.38,66,0.391,17.8
Dorian Finney-Smith,PF,DAL,0.559,0.758,0.167,0,0.333,0.355,0.425,40,0.416,18.4
Dorian Finney-Smith,PF,BKN,0.429,0.489,0.3,0,1,0.306,0.286,26,0.351,16.8
Malachi Flynn,PG,TOR,0.367,0.517,0.286,0.5,0.2,0.353,0.476,53,0.36,18.3
Simone Fontecchio,SF,UTA,0.43,0.545,0.327,0.524,0.389,0.33,0.395,52,0.369,18.5
Bryn Forbes,SG,MIN,0.432,0.6,0.4,0.167,0.545,0.304,0.417,25,0.361,18.9
Trent Forrest,SG,ATL,0.431,0.333,0.459,0.5,,0,0,23,0.417,6.6
Michael Foster Jr.,PF,PHI,,,,,,,,1,,
Evan Fournier,SG,NYK,0.404,0.5,0.467,0.353,0.25,0.307,0.333,27,0.337,20.4
De'Aaron Fox,PG,SAC,0.584,0.803,0.569,0.488,0.444,0.324,0.255,73,0.512,13.5
Markelle Fultz,PG,ORL,0.544,0.685,0.5,0.438,0.449,0.31,0.375,60,0.514,9.8
Wenyen Gabriel,C,LAL,0.647,0.713,0.568,0.2,0.5,0.278,0.263,68,0.596,6.1
Daniel Gafford,C,WAS,0.732,0.846,0.566,0.8,0.167,,,78,0.732,3.2
Darius Garland,PG,CLE,0.492,0.615,0.451,0.521,0.357,0.41,0.389,69,0.462,14.8
Usman Garuba,C,HOU,0.525,0.625,0.324,0,,0.407,0.414,75,0.486,9.9
Luka Garza,C,MIN,0.636,0.825,0.414,0.571,0,0.359,0.333,28,0.543,11.5
Rudy Gay,PF,UTA,0.484,0.667,0.429,0.422,0.485,0.254,0.318,56,0.38,17.3
Paul George,SF,LAC,0.521,0.699,0.553,0.421,0.411,0.371,0.491,56,0.457,16.7
Taj Gibson,C,WAS,0.564,0.806,0.429,0.5,0.333,0.333,0.455,49,0.52,10.3
Josh Giddey,PF,OKC,0.524,0.646,0.455,0.455,0.304,0.325,0.4,76,0.482,9.6
Shai Gilgeous-Alexander,PG,OKC,0.533,0.678,0.438,0.512,0.396,0.345,0.235,68,0.51,9.8
Anthony Gill,PF,WAS,0.65,0.78,0.593,0.429,0,0.138,0.167,59,0.538,8.7
Jacob Gilyard,PG,MEM,,,,,,0.333,0,1,0.333,24.4
Rudy Gobert,C,MIN,0.663,0.748,0.365,0.333,0,0,,70,0.659,2.5
Jordan Goodwin,PG,WAS,0.511,0.712,0.444,0.444,0.382,0.322,0.52,62,0.448,14
Aaron Gordon,PF,DEN,0.628,0.779,0.394,0.292,0.333,0.347,0.259,68,0.564,8.8
Eric Gordon,SG,TOT,0.535,0.71,0.453,0.37,0.25,0.371,0.467,69,0.446,17.2
Eric Gordon,SG,HOU,0.536,0.744,0.458,0.3,0.25,0.347,0.526,47,0.439,16.5
Eric Gordon,SG,LAC,0.531,0.621,0.429,0.571,,0.423,0.364,22,0.463,19
Devonte' Graham,PG,TOT,0.452,0.6,0.355,0.533,0.364,0.352,0.429,73,0.374,22.5
Devonte' Graham,PG,NOP,0.463,0.462,0.308,0.571,0.625,0.347,0.35,53,0.368,23
Devonte' Graham,PG,SAS,0.442,0.75,0.389,0.5,0.214,0.358,0.533,20,0.38,22
Jerami Grant,PF,POR,0.523,0.68,0.419,0.397,0.383,0.401,0.375,63,0.475,13.9
RaiQuan Gray,PF,BKN,0.571,0.667,0,,,0.4,0,1,0.5,11.5
A.J. Green,SG,MIL,0.45,0.4,0.5,0.5,0.444,0.419,0.409,35,0.424,23.7
Danny Green,SG,TOT,0.5,0.5,0.333,0.5,1,0.432,0.417,11,0.449,21.4
Danny Green,SG,MEM,0,,0,0,,0.375,0.25,3,0.273,20.6
Danny Green,SG,CLE,0.667,0.5,0.5,0.75,1,0.448,0.5,8,0.5,21.6
Draymond Green,PF,GSW,0.612,0.709,0.57,0.474,0.273,0.305,0.308,73,0.527,10.3
Jalen Green,SG,HOU,0.471,0.591,0.406,0.467,0.368,0.338,0.324,76,0.416,15.2
JaMychal Green,PF,GSW,0.667,0.701,0.674,0.5,0.286,0.378,0.372,57,0.54,12.8
Javonte Green,SF,CHI,0.658,0.75,0.45,,0,0.371,0.313,32,0.565,9.8
Jeff Green,PF,DEN,0.58,0.768,0.427,0.409,0.364,0.288,0.421,56,0.488,11.5
Josh Green,SG,DAL,0.643,0.78,0.513,0.435,0.6,0.402,0.39,60,0.537,13.1
AJ Griffin,SF,ATL,0.536,0.63,0.568,0.522,0.375,0.39,0.408,72,0.465,16.8
Blake Griffin,C,BOS,0.625,0.675,0.524,0,,0.348,0.333,41,0.485,13.6
Quentin Grimes,SG,NYK,0.641,0.745,0.321,0.182,0.429,0.386,0.474,71,0.468,17.9
Rui Hachimura,PF,TOT,0.55,0.736,0.373,0.495,0.506,0.319,0.333,63,0.486,13.1
Rui Hachimura,PF,WAS,0.545,0.803,0.344,0.534,0.46,0.337,0.4,30,0.488,13.8
Rui Hachimura,PF,LAL,0.556,0.679,0.415,0.439,0.586,0.296,0.238,33,0.485,12.3
Tyrese Haliburton,PG,IND,0.572,0.733,0.453,0.403,0.55,0.4,0.514,56,0.49,15.8
Jordan Hall,SF,SAS,0.462,0.75,0,0.333,0.4,0.2,0.25,9,0.321,19.1
R.J. Hampton,SG,TOT,0.504,0.676,0.44,0.476,0.222,0.353,0.448,47,0.43,15.8
R.J. Hampton,SG,ORL,0.525,0.684,0.52,0.444,0.25,0.34,0.467,26,0.439,15.8
R.J. Hampton,SG,DET,0.483,0.667,0.36,0.5,0,0.365,0.429,21,0.423,15.7
Tim Hardaway Jr.,SF,DAL,0.431,0.543,0.367,0.434,0.32,0.385,0.389,71,0.401,19.7
James Harden,PG,PHI,0.495,0.618,0.418,0.438,0.528,0.385,0.429,58,0.441,16.4
Jaden Hardy,SG,DAL,0.469,0.548,0.435,0.263,0.368,0.404,0.472,48,0.438,15
Ron Harper Jr.,PF,TOR,0.714,0.667,0.75,,,0.333,0.5,9,0.5,15.5
Montrezl Harrell,C,PHI,0.616,0.71,0.5,0.111,0,0,0,57,0.598,4
Gary Harris,SG,ORL,0.494,0.614,0.429,0,0.417,0.431,0.462,48,0.45,19.4
Joe Harris,SF,BKN,0.551,0.714,0.357,0,0.5,0.426,0.462,74,0.457,20.5
Kevon Harris,SG,ORL,0.484,0.579,0.409,0,0,0.372,0.5,34,0.439,12.3
Tobias Harris,SF,PHI,0.57,0.709,0.473,0.453,0.483,0.389,0.405,74,0.501,13.2
Shaquille Harrison,SG,POR,0.462,0.5,0.5,0.333,0.333,0.3,1,5,0.417,11
Josh Hart,SF,TOT,0.601,0.736,0.41,0.265,0.231,0.372,0.412,76,0.529,10.6
Josh Hart,SF,POR,0.594,0.715,0.438,0.269,0.25,0.304,0.327,51,0.504,10.6
Josh Hart,SF,NYK,0.619,0.788,0.367,0.25,0,0.519,0.632,25,0.586,10.5
Isaiah Hartenstein,C,NYK,0.576,0.623,0.576,0.375,0,0.216,0.292,82,0.535,6
Udonis Haslem,C,MIA,0.35,0.25,0.333,0.556,0,0.333,0.25,7,0.345,14.7
Sam Hauser,SF,BOS,0.656,0.839,0.526,0.6,0.167,0.418,0.437,80,0.455,22.4
Jaxson Hayes,C,NOP,0.654,0.766,0.527,1,0.5,0.103,0.167,47,0.551,7.4
Killian Hayes,PG,DET,0.429,0.586,0.403,0.401,0.418,0.28,0.243,76,0.377,15.7
Gordon Hayward,SF,CHA,0.532,0.763,0.487,0.486,0.42,0.325,0.432,50,0.475,14.4
Juancho Hernangomez,PF,TOR,0.66,0.727,0.583,,0,0.254,0.321,42,0.421,16.1
Willy Hernangomez,C,NOP,0.544,0.635,0.453,0.5,0,0.273,0,38,0.527,5
Tyler Herro,SG,MIA,0.497,0.699,0.486,0.462,0.357,0.378,0.444,67,0.439,17.1
Buddy Hield,SF,IND,0.518,0.688,0.345,0.413,0.42,0.425,0.478,80,0.458,19.2
Haywood Highsmith,PF,MIA,0.523,0.692,0.406,0.267,0.375,0.339,0.313,54,0.431,15.4
George Hill,PG-SG,TOT,0.62,0.706,0.412,0.667,0.636,0.358,0.438,46,0.47,17.7
George Hill,PG,MIL,0.621,0.704,0.357,0.714,0.7,0.311,0.385,35,0.447,17.7
George Hill,SG,IND,0.615,0.714,0.667,0.5,0,0.524,0.667,11,0.559,17.9
Malcolm Hill,SF,CHI,1,1,,,,0.333,0,5,0.5,18.7
Aaron Holiday,PG,ATL,0.424,0.612,0.216,0.31,0.529,0.409,0.2,63,0.418,14.7
Jrue Holiday,PG,MIL,0.542,0.727,0.452,0.459,0.453,0.384,0.458,67,0.479,15.3
Justin Holiday,SF,TOT,0.508,0.7,0.5,0.143,0.35,0.322,0.325,46,0.377,19.8
