Player,Pos,Tm,2P,0-3,3-10,10-16,16-3P,3P,3Corner,G,FG%,Dist.
Mason Plumlee,C,LAC,0.727,0.773,0.619,0,,,,23,0.727,2.2
Jakob Poeltl,C,TOT,0.63,0.757,0.516,0.471,0,0,,72,0.629,4.6
Jakob Poeltl,C,SAS,0.618,0.768,0.481,0.441,0,0,,46,0.616,4.9
Jakob Poeltl,C,TOR,0.652,0.738,0.571,0.538,,,,26,0.652,4.2
Aleksej Pokusevski,PF,OKC,0.483,0.645,0.3,0.308,0.333,0.365,0.379,34,0.434,13.2
Jordan Poole,PG,GSW,0.524,0.696,0.517,0.379,0.398,0.336,0.333,82,0.43,17.3
Kevin Porter Jr.,PG,HOU,0.501,0.711,0.385,0.461,0.478,0.366,0.489,59,0.442,15.7
Michael Porter Jr.,SF,DEN,0.579,0.807,0.429,0.44,0.449,0.414,0.524,62,0.487,17.7
Otto Porter Jr.,SF,TOR,0.692,1,1,0,0.4,0.353,0.25,8,0.5,18.8
Bobby Portis,PF,MIL,0.555,0.643,0.549,0.471,0.492,0.37,0.278,70,0.496,13.3
Kristaps Porzingis,C,WAS,0.559,0.74,0.534,0.491,0.417,0.385,0.526,65,0.498,15.1
Micah Potter,PF,UTA,0.75,1,0.6,,,0.571,1,7,0.667,14.3
Dwight Powell,C,DAL,0.746,0.791,0.578,0,0.333,0,0,76,0.732,2.5
Norman Powell,SG,LAC,0.534,0.684,0.456,0.419,0.372,0.397,0.484,60,0.479,14.1
Jason Preston,PG,LAC,0.565,0.8,0.417,0.6,1,0.278,0.5,14,0.439,17.1
Joshua Primo,SG,SAS,0.429,1,0.375,0.333,0.5,0.25,0.333,4,0.346,17
Taurean Prince,PF,MIN,0.557,0.671,0.462,0.667,0.3,0.381,0.432,54,0.467,15.7
Payton Pritchard,PG,BOS,0.495,0.615,0.414,0.375,0.385,0.364,0.321,48,0.412,18.6
Trevelin Queen,SG,IND,0.357,0.556,0,,0,0.133,0.5,7,0.241,15.6
Neemias Queta,C,SAC,0.667,0.75,0.6,,,,,5,0.667,3
Immanuel Quickley,SG,NYK,0.521,0.681,0.5,0.471,0.346,0.37,0.366,81,0.448,16.5
Lester Quinones,SG,GSW,0,,0,,,0.5,0,4,0.4,22.3
Julius Randle,PF,NYK,0.553,0.679,0.519,0.443,0.407,0.343,0.333,77,0.459,15.3
Austin Reaves,SG,LAL,0.631,0.833,0.558,0.54,0.423,0.398,0.368,64,0.529,15.4
Cam Reddish,SF,TOT,0.56,0.675,0.508,0.412,0.2,0.313,0.354,40,0.446,13.5
Cam Reddish,SF,NYK,0.55,0.651,0.464,0.333,0.333,0.304,0.368,20,0.449,12.8
Cam Reddish,SF,POR,0.568,0.7,0.548,0.455,0,0.318,0.345,20,0.443,14
Davon Reed,SG,TOT,0.289,0.375,0.182,0.125,0.455,0.37,0.357,43,0.333,18.6
Davon Reed,SG,DEN,0.25,0.286,0.182,0.125,0.4,0.364,0.357,35,0.313,18.6
Davon Reed,SG,LAL,1,1,,,1,0.5,,8,0.75,18.5
Paul Reed,C,PHI,0.606,0.706,0.356,0.333,0.5,0.167,0,69,0.593,4
Naz Reid,C,MIN,0.653,0.812,0.466,0.385,0.5,0.346,0.263,68,0.537,11.8
Jared Rhoden,SG,DET,0.5,0.571,0.333,0.75,0,0.25,0.375,14,0.386,14.8
Nick Richards,C,CHA,0.628,0.741,0.282,0.5,0.333,1,,65,0.629,2.6
Josh Richardson,SG,TOT,0.506,0.66,0.467,0.429,0.533,0.365,0.447,65,0.431,18.8
Josh Richardson,SG,SAS,0.518,0.639,0.585,0.395,0.565,0.357,0.481,42,0.436,18.7
Josh Richardson,SG,NOP,0.468,0.714,0.211,0.6,0.429,0.384,0.4,23,0.419,19
Austin Rivers,SG,MIN,0.558,0.786,0.35,0.25,,0.35,0.42,52,0.435,15.7
Duncan Robinson,SF,MIA,0.556,0.75,0.476,0.5,0.333,0.328,0.306,42,0.371,21.9
Mitchell Robinson,C,NYK,0.671,0.7,0.333,1,0,,,59,0.671,1.2
Orlando Robinson,C,MIA,0.566,0.757,0.452,0,0,0,0,31,0.528,5.3
Jeremiah Robinson-Earl,PF,OKC,0.533,0.612,0.32,0.6,0.222,0.333,0.333,43,0.444,12.9
Isaiah Roby,PF,SAS,0.516,0.707,0.395,0.25,0.286,0.3,0.364,42,0.432,13.1
David Roddy,PF,MEM,0.553,0.711,0.351,0.545,0.167,0.307,0.341,70,0.429,14.5
Ryan Rollins,PG,GSW,0.364,0.429,0.333,0,,0.333,0.2,12,0.35,13.1
Derrick Rose,PG,NYK,0.438,0.567,0.366,0.467,0.3,0.302,0.333,27,0.384,14.2
Terrence Ross,SG,TOT,0.507,0.706,0.514,0.398,0.586,0.368,0.441,63,0.43,19.7
Terrence Ross,SG,ORL,0.489,0.692,0.5,0.385,0.548,0.381,0.459,42,0.431,19.2
Terrence Ross,SG,PHX,0.544,0.75,0.6,0.419,0.643,0.347,0.419,21,0.428,20.6
Terry Rozier,SG,CHA,0.48,0.622,0.376,0.467,0.417,0.327,0.301,63,0.415,15.1
Ricky Rubio,PG,CLE,0.417,0.407,0.188,0.488,0.444,0.256,0.306,33,0.343,16.4
D'Angelo Russell,PG,TOT,0.548,0.721,0.492,0.484,0.475,0.396,0.4,71,0.469,17.6
D'Angelo Russell,PG,MIN,0.546,0.698,0.511,0.477,0.508,0.391,0.349,54,0.465,17.8
D'Angelo Russell,PG,LAL,0.555,0.778,0.45,0.526,0.333,0.414,0.714,17,0.484,16.6
Matt Ryan,SF,TOT,0.333,0.8,0.2,0,0.231,0.381,0.552,34,0.37,22.2
Matt Ryan,SF,LAL,0.143,,0,0,0.182,0.371,0.667,12,0.306,22.9
Matt Ryan,SF,MIN,0.6,0.8,0.333,,0.5,0.388,0.5,22,0.424,21.5
Domantas Sabonis,C,SAC,0.639,0.764,0.502,0.512,0.444,0.373,0.2,79,0.615,6.2
Luka Samanic,PF,UTA,0.692,0.786,0.7,0,0,0.258,0.286,7,0.456,15.4
Dario Saric,PF-C,TOT,0.506,0.731,0.403,0.3,0.154,0.391,0.448,57,0.458,14
Dario Saric,PF,PHX,0.45,0.643,0.386,0.308,0.1,0.391,0.409,37,0.427,13.5
Dario Saric,C,OKC,0.623,0.88,0.444,0.286,0.333,0.391,0.571,20,0.515,14.9
Olivier Sarr,C,OKC,0.636,0.611,0.667,1,,0.125,0,9,0.5,8.3
Jordan Schakel,SF,WAS,0,,0,,,1,,2,0.5,16.1
Admiral Schofield,PF,ORL,0.646,0.704,0.6,0,,0.324,0.385,37,0.451,16.4
Dennis Schroder,PG,LAL,0.461,0.55,0.422,0.462,0.391,0.329,0.345,66,0.415,14.4
Jay Scrubb,SG,ORL,0.6,0.667,0.5,,,1,1,2,0.714,9.7
Dereon Seabron,SG,NOP,0.4,1,0,,,,,5,0.4,5.6
Alperen Sengun,C,HOU,0.57,0.677,0.499,0.476,0.308,0.333,0,75,0.553,6
Collin Sexton,PG,UTA,0.546,0.608,0.506,0.595,0.389,0.393,0.44,48,0.506,11.1
Landry Shamet,SG,PHX,0.376,0.537,0.25,0.261,0.294,0.377,0.467,40,0.377,19.6
Day'Ron Sharpe,C,BKN,0.544,0.641,0.282,0.333,0,0.545,0,48,0.544,3.8
Shaedon Sharpe,SG,POR,0.559,0.708,0.392,0.313,0.444,0.36,0.407,80,0.472,15
Pascal Siakam,PF,TOR,0.523,0.75,0.474,0.469,0.37,0.324,0.351,71,0.48,12.2
Chris Silva,PF,DAL,1,,1,,,,,1,1,7.4
Ben Simmons,PG,BKN,0.571,0.713,0.468,0.455,0,0,,42,0.566,4.8
Kobi Simmons,SG,CHA,0,0,,,,0.2,,5,0.167,22.2
Marko Simonovic,C,CHI,0.333,,0.333,,,0.25,,7,0.286,18.5
Anfernee Simons,SG,POR,0.528,0.647,0.431,0.542,0.417,0.377,0.4,62,0.447,17.9
Jericho Sims,C,NYK,0.783,0.831,0.545,0.5,,0,,52,0.776,2.5
Marcus Smart,PG,BOS,0.519,0.75,0.431,0.438,0.267,0.336,0.333,61,0.415,17
Dennis Smith Jr.,PG,CHA,0.475,0.664,0.343,0.357,0.267,0.216,0.28,54,0.412,11.4
Dru Smith,SG,TOT,0.5,0.5,0.556,0.5,0,0.263,0.429,15,0.4,14.9
Dru Smith,SG,MIA,0.5,1,0.5,0.5,0,0.167,0,5,0.357,16.1
Dru Smith,SG,BKN,0.5,0.429,0.6,0.5,,0.308,0.6,10,0.419,14.3
Ish Smith,PG,DEN,0.42,0.533,0.524,0.333,0.404,0.167,0,43,0.397,13.4
Jabari Smith Jr.,PF,HOU,0.487,0.725,0.39,0.458,0.34,0.307,0.348,79,0.408,16.2
Jalen Smith,C,IND,0.593,0.761,0.404,0.158,0.4,0.283,0.281,68,0.476,12.2
Xavier Sneed,SF,CHA,0.5,1,0,0,,0.5,1,4,0.5,17.6
Jeremy Sochan,PF,SAS,0.519,0.665,0.39,0.447,0.379,0.246,0.147,56,0.453,10.4
Jaden Springer,SG,PHI,0.5,0.75,0.444,0.286,0,0.4,0,16,0.486,8.9
Lamar Stevens,SF,CLE,0.513,0.653,0.326,0.45,0.222,0.316,0.254,62,0.448,11.5
Isaiah Stewart,C,DET,0.542,0.571,0.478,0.5,0.857,0.327,0.328,50,0.442,13.5
Max Strus,SF,MIA,0.559,0.679,0.478,0.444,0.111,0.35,0.461,80,0.41,19.4
Jalen Suggs,SG,ORL,0.496,0.588,0.472,0.324,0.441,0.327,0.407,53,0.419,15.8
Edmond Sumner,SG,BKN,0.511,0.624,0.389,0.357,0.636,0.356,0.348,53,0.461,11.2
Cole Swider,SF,LAL,0,,,0,,0.375,1,7,0.333,24.2
Jae'Sean Tate,SF,HOU,0.53,0.614,0.5,0.3,0.333,0.283,0.313,31,0.48,8.5
Jayson Tatum,SF,BOS,0.558,0.738,0.457,0.389,0.366,0.35,0.455,74,0.466,14.8
Terry Taylor,PF,TOT,0.607,0.765,0.389,0.333,0,0.263,0.25,31,0.52,9
Terry Taylor,PF,IND,0.553,0.714,0.333,0.333,0,0.222,0.25,26,0.462,9.6
Terry Taylor,PF,CHI,0.889,1,0.667,,,1,,5,0.9,5
Garrett Temple,SG,NOP,0.368,0.5,0,0,0,0.423,0.333,25,0.4,17.3
Dalen Terry,SG,CHI,0.556,0.581,0.5,,0.5,0.259,0.25,38,0.444,11.6
Daniel Theis,C,IND,0.576,0.611,0.667,0.333,,0.182,0.5,7,0.477,10.4
Cam Thomas,SG,BKN,0.464,0.684,0.466,0.346,0.458,0.383,0.5,57,0.441,14.6
Klay Thompson,SF,GSW,0.47,0.694,0.513,0.378,0.408,0.412,0.403,69,0.436,19.6
JT Thor,PF,CHA,0.487,0.565,0.487,0.381,0.333,0.317,0.382,69,0.399,15.8
Matisse Thybulle,SF-SG,TOT,0.533,0.642,0.343,0.333,,0.365,0.375,71,0.435,15.5
Matisse Thybulle,SF,PHI,0.547,0.647,0.389,0,,0.333,0.313,49,0.431,14.9
Matisse Thybulle,SG,POR,0.519,0.636,0.294,0.5,,0.388,0.425,22,0.438,16
Xavier Tillman,C,MEM,0.632,0.753,0.516,0.441,0.25,0.267,0.125,61,0.614,5.5
Isaiah Todd,PF,WAS,0.222,0,0.286,,0,0.1,0,6,0.158,17.1
Obi Toppin,PF,NYK,0.593,0.736,0.25,0.125,0.667,0.344,0.353,67,0.446,16
Juan Toscano-Anderson,SF,TOT,0.56,0.667,0.5,0.333,0.6,0.186,0.2,52,0.448,11.2
Juan Toscano-Anderson,SF,LAL,0.63,0.864,0.421,0,0.667,0.2,0.286,30,0.5,11.1
Juan Toscano-Anderson,SF,UTA,0.5,0.45,0.56,0.429,0.5,0.174,0.154,22,0.403,11.3
Karl-Anthony Towns,PF,MIN,0.576,0.791,0.48,0.333,0.552,0.366,0.176,29,0.495,14
Gary Trent Jr.,SG,TOR,0.493,0.704,0.475,0.455,0.364,0.369,0.291,66,0.433,17.6
P.J. Tucker,PF,PHI,0.482,0.487,0.441,0.5,0.75,0.393,0.398,75,0.427,16.5
Myles Turner,C,IND,0.638,0.778,0.516,0.615,0.286,0.373,0.458,62,0.548,12.2
Stanley Umude,SG,DET,,,,,,0,0,1,0,24.8
